Entity,Code,Year,Under-five mortality rate
Brazil,BRA,1979,10.022699
Brazil,BRA,1980,9.593977
Brazil,BRA,1981,9.163443
Brazil,BRA,1982,8.747234
Brazil,BRA,1983,8.365293
Brazil,BRA,1984,8.010505
Brazil,BRA,1985,7.6873236
Brazil,BRA,1986,7.389332
Brazil,BRA,1987,7.1091375
Brazil,BRA,1988,6.8392158
Brazil,BRA,1989,6.5739355
Brazil,BRA,1990,6.2986617
Brazil,BRA,1991,6.0182633
Brazil,BRA,1992,5.7227583
Brazil,BRA,1993,5.413362
Brazil,BRA,1994,5.098321
Brazil,BRA,1995,4.790627
Brazil,BRA,1996,4.493045
Brazil,BRA,1997,4.210665
Brazil,BRA,1998,3.9452121
Brazil,BRA,1999,3.697075
Brazil,BRA,2000,3.4631245
Brazil,BRA,2001,3.2412105
Brazil,BRA,2002,3.0300298
Brazil,BRA,2003,2.8309913
Brazil,BRA,2004,2.6443863
Brazil,BRA,2005,2.4727066
Brazil,BRA,2006,2.317732
Brazil,BRA,2007,2.1785789
Brazil,BRA,2008,2.056979
Brazil,BRA,2009,1.9515293
Brazil,BRA,2010,1.8625997
Brazil,BRA,2011,1.7867286
Brazil,BRA,2012,1.7235578
Brazil,BRA,2013,1.6715246
Brazil,BRA,2014,1.6276544
Brazil,BRA,2015,1.5909408
Brazil,BRA,2016,1.6688896
Brazil,BRA,2017,1.5306153
Brazil,BRA,2018,1.503918
Brazil,BRA,2019,1.4784147
Brazil,BRA,2020,1.4529544
Brazil,BRA,2021,1.4275074
Brazil,BRA,2022,1.4024924
India,IND,1979,17.45883
India,IND,1980,16.910683
India,IND,1981,16.389294
India,IND,1982,15.905081
India,IND,1983,15.451693
India,IND,1984,15.025775
India,IND,1985,14.62279
India,IND,1986,14.222694
India,IND,1987,13.819104
India,IND,1988,13.414141
India,IND,1989,13.02471
India,IND,1990,12.647425
India,IND,1991,12.287185
India,IND,1992,11.945878
India,IND,1993,11.612879
India,IND,1994,11.28228
India,IND,1995,10.945056
India,IND,1996,10.603683
India,IND,1997,10.252345
India,IND,1998,9.894233
India,IND,1999,9.53089
India,IND,2000,9.167511
India,IND,2001,8.806305
India,IND,2002,8.453241
India,IND,2003,8.106652
India,IND,2004,7.7688875
India,IND,2005,7.4370575
India,IND,2006,7.106286
India,IND,2007,6.778675
India,IND,2008,6.4528794
India,IND,2009,6.1304255
India,IND,2010,5.8119187
India,IND,2011,5.5020313
India,IND,2012,5.199456
India,IND,2013,4.90549
India,IND,2014,4.625161
India,IND,2015,4.3589144
India,IND,2016,4.106891
India,IND,2017,3.868187
India,IND,2018,3.6436157
India,IND,2019,3.4323945
India,IND,2020,3.235089
India,IND,2021,3.0596902
India,IND,2022,2.9064739
