Entity,Code,ID_Pays
Afghanistan,AFG,1
Africa,,2
Albania,ALB,3
Algeria,DZA,4
Andorra,AND,5
Angola,AGO,6
Antigua and Barbuda,ATG,7
Arab States (UNDP),,8
Argentina,ARG,9
Armenia,ARM,10
Asia,,11
Australia,AUS,12
Austria,AUT,13
Azerbaijan,AZE,14
Bahamas,BHS,15
Bahrain,BHR,16
Bangladesh,BGD,17
Barbados,BRB,18
Belarus,BLR,19
Belgium,BEL,20
Belize,BLZ,21
Benin,BEN,22
Bhutan,BTN,23
Bolivia,BOL,24
Bosnia and Herzegovina,BIH,25
Botswana,BWA,26
Brazil,BRA,27
Brunei,BRN,28
Bulgaria,BGR,29
Burkina Faso,BFA,30
Burundi,BDI,31
Cambodia,KHM,32
Cameroon,CMR,33
Canada,CAN,34
Cape Verde,CPV,35
Central African Republic,CAF,36
Chad,TCD,37
Chile,CHL,38
China,CHN,39
Colombia,COL,40
Comoros,COM,41
Congo,COG,42
Costa Rica,CRI,43
Cote d'Ivoire,CIV,44
Croatia,HRV,45
Cuba,CUB,46
Cyprus,CYP,47
Czechia,CZE,48
Democratic Republic of Congo,COD,49
Denmark,DNK,50
Djibouti,DJI,51
Dominica,DMA,52
Dominican Republic,DOM,53
East Asia and the Pacific (UNDP),,54
East Timor,TLS,55
Ecuador,ECU,56
Egypt,EGY,57
El Salvador,SLV,58
Equatorial Guinea,GNQ,59
Eritrea,ERI,60
Estonia,EST,61
Eswatini,SWZ,62
Ethiopia,ETH,63
Europe,,64
Europe and Central Asia (UNDP),,65
European Union (27),,66
Fiji,FJI,67
Finland,FIN,68
France,FRA,69
Gabon,GAB,70
Gambia,GMB,71
Georgia,GEO,72
Germany,DEU,73
Ghana,GHA,74
Greece,GRC,75
Grenada,GRD,76
Guatemala,GTM,77
Guinea,GIN,78
Guinea-Bissau,GNB,79
Guyana,GUY,80
Haiti,HTI,81
High human development (UNDP),,82
High-income countries,,83
Honduras,HND,84
Hong Kong,HKG,85
Hungary,HUN,86
Iceland,ISL,87
India,IND,88
Indonesia,IDN,89
Iran,IRN,90
Iraq,IRQ,91
Ireland,IRL,92
Israel,ISR,93
Italy,ITA,94
Jamaica,JAM,95
Japan,JPN,96
Jordan,JOR,97
Kazakhstan,KAZ,98
Kenya,KEN,99
Kiribati,KIR,100
Kuwait,KWT,101
Kyrgyzstan,KGZ,102
Laos,LAO,103
Latin America and the Caribbean (UNDP),,104
Latvia,LVA,105
Lebanon,LBN,106
Lesotho,LSO,107
Liberia,LBR,108
Libya,LBY,109
Liechtenstein,LIE,110
Lithuania,LTU,111
Low human development (UNDP),,112
Low-income countries,,113
Lower-middle-income countries,,114
Luxembourg,LUX,115
Madagascar,MDG,116
Malawi,MWI,117
Malaysia,MYS,118
Maldives,MDV,119
Mali,MLI,120
Malta,MLT,121
Marshall Islands,MHL,122
Mauritania,MRT,123
Mauritius,MUS,124
Medium human development (UNDP),,125
Mexico,MEX,126
Micronesia (country),FSM,127
Moldova,MDA,128
Mongolia,MNG,129
Montenegro,MNE,130
Morocco,MAR,131
Mozambique,MOZ,132
Myanmar,MMR,133
Namibia,NAM,134
Nauru,NRU,135
Nepal,NPL,136
Netherlands,NLD,137
New Zealand,NZL,138
Nicaragua,NIC,139
Niger,NER,140
Nigeria,NGA,141
North America,,142
North Macedonia,MKD,143
Norway,NOR,144
Oceania,,145
Oman,OMN,146
Pakistan,PAK,147
Palau,PLW,148
Palestine,PSE,149
Panama,PAN,150
Papua New Guinea,PNG,151
Paraguay,PRY,152
Peru,PER,153
Philippines,PHL,154
Poland,POL,155
Portugal,PRT,156
Qatar,QAT,157
Romania,ROU,158
Russia,RUS,159
Rwanda,RWA,160
Saint Kitts and Nevis,KNA,161
Saint Lucia,LCA,162
Saint Vincent and the Grenadines,VCT,163
Samoa,WSM,164
San Marino,SMR,165
Sao Tome and Principe,STP,166
Saudi Arabia,SAU,167
Senegal,SEN,168
Serbia,SRB,169
Seychelles,SYC,170
Sierra Leone,SLE,171
Singapore,SGP,172
Slovakia,SVK,173
Slovenia,SVN,174
Solomon Islands,SLB,175
Somalia,SOM,176
South Africa,ZAF,177
South America,,178
South Asia (UNDP),,179
South Korea,KOR,180
South Sudan,SSD,181
Spain,ESP,182
Sri Lanka,LKA,183
Sub-Saharan Africa (UNDP),,184
Sudan,SDN,185
Suriname,SUR,186
Sweden,SWE,187
Switzerland,CHE,188
Syria,SYR,189
Tajikistan,TJK,190
Tanzania,TZA,191
Thailand,THA,192
Togo,TGO,193
Tonga,TON,194
Trinidad and Tobago,TTO,195
Tunisia,TUN,196
Turkey,TUR,197
Turkmenistan,TKM,198
Tuvalu,TUV,199
Uganda,UGA,200
Ukraine,UKR,201
United Arab Emirates,ARE,202
United Kingdom,GBR,203
United States,USA,204
Upper-middle-income countries,,205
Uruguay,URY,206
Uzbekistan,UZB,207
Vanuatu,VUT,208
Venezuela,VEN,209
Very high human development (UNDP),,210
Vietnam,VNM,211
World,OWID_WRL,212
Yemen,YEM,213
Zambia,ZMB,214
Zimbabwe,ZWE,215
