ID_Pays,ID_Annee,ID_Revenu,ID_energie_principale,ID_niveau_developpement,HDI,Emissions_CO2_par_habitant,PIB_par_habitant
1,11,1,2,1,0.34,0.052017417,1617.8264
1,12,1,2,1,0.344,0.05270568,1454.1108
1,13,1,2,1,0.368,0.062727444,1774.3087
1,14,1,2,1,0.379,0.068605036,1815.9282
1,15,1,2,1,0.395,0.052513268,1776.9182
1,16,1,2,1,0.402,0.077424295,1908.1147
1,17,1,2,1,0.41,0.08493193,1929.7239
1,18,1,2,1,0.426,0.10806349,2155.353
1,19,1,2,1,0.431,0.16065161,2191.5044
1,20,1,2,1,0.441,0.23271917,2565.022
1,21,1,2,1,0.449,0.2957424,2848.5862
1,22,1,2,1,0.457,0.40338126,2757.0525
1,23,1,2,1,0.467,0.32838032,2985.319
1,24,1,2,1,0.475,0.29183197,3046.5798
1,25,1,2,1,0.48,0.27707645,3017.9426
1,26,1,2,1,0.479,0.28583142,2967.6921
1,27,1,2,1,0.483,0.25666347,2958.7854
1,28,1,2,1,0.485,0.27116078,2952.999
1,29,1,2,1,0.486,0.2885413,2902.392
1,30,1,2,1,0.492,0.2859549,2927.245
1,31,1,2,1,0.488,0.29706252,2769.6858
1,32,1,2,1,0.473,0.2567944,2144.1665
1,33,1,2,1,0.462,0.26017997,1981.7102
3,11,2,2,2,0.678,0.9553966,6600.9785
3,12,2,2,2,0.687,1.0230992,7215.82
3,13,2,2,2,0.692,1.1959667,7565.8213
3,14,2,2,3,0.701,1.3801706,8014.0366
3,15,2,2,3,0.707,1.3478987,8491.398
3,16,2,2,3,0.72,1.385305,9006.646
3,17,2,2,3,0.728,1.2818637,9598.646
3,18,3,2,3,0.74,1.3063571,10250.128
3,19,3,2,3,0.747,1.4691418,11103.7705
3,20,3,2,3,0.752,1.4879525,11553.821
3,21,3,2,3,0.766,1.6334264,12041.749
3,22,3,2,3,0.779,1.8254082,12381.524
3,23,3,2,3,0.789,1.6666856,12577.756
3,24,3,2,3,0.793,1.8185169,12727.083
3,25,3,2,3,0.797,2.0661745,12979.765
3,26,3,2,3,0.797,1.625643,13306.443
3,27,3,2,3,0.795,1.5984093,13769.547
3,28,3,2,3,0.796,1.8262929,14306.299
3,29,3,2,3,0.797,1.6912793,14918.081
3,30,3,2,3,0.8,1.6731106,15290.777
3,31,3,2,3,0.784,1.6403989,14869.22
3,32,3,2,3,0.785,1.8016713,16353.809
3,33,3,2,3,0.789,1.8295882,17352.854
4,11,3,1,2,0.652,2.7633605,11558.221
4,12,3,1,2,0.659,2.7716517,11742.595
4,13,3,1,2,0.668,2.856378,12213.126
4,14,3,1,2,0.675,2.9394941,12835.182
4,15,3,1,2,0.683,2.810881,13226.765
4,16,3,1,2,0.69,3.3523104,13738.496
